,Date,Language,Text,clean_text
0,2022-09-11 22:22:28+00:00,en,All the medical pain and all the taxes spent putting people in jail. A sin!….Big Pharma Fears Legal Marijuana &amp; Terrorism Victims Blocked By Us Gover... https://t.co/UcZrM1SS6L via @YouTube,medical pain taxes spent putting people jail sin big pharma fears legal marijuana amp terrorism victims blocked us gover via 
1,2022-09-11 22:21:26+00:00,en,"A good way to clean up your follower list is this app called @Sociallix! I can see who I didn't follow back so I don't have to go down the long list and weed them out. Plus, I can find out who blocks me, every time! LMAO! It's free, and it's highly recommended by me! Go get it!!!",good way clean follower list app called see follow back go long list weed out plus find blocks me every time lmao free highly recommended me go get it 
2,2022-09-11 22:12:16+00:00,en,"@1zzyzyx1 @MeidasTouch @CharlieCrist legalize marijuana, and remove all the barriers that DeSantis has put in place to block voting, including those who were incarcerated", legalize marijuana remove barriers desantis put place block voting including incarcerated
3,2022-09-11 22:11:15+00:00,en,"RT @snoopdoggslungz: 📸 Chem D
🌱(ig) https://t.co/08Krz2QMVZ 
#weed https://t.co/ZK4181FY1f",rt chem d ig 
4,2022-09-11 22:06:53+00:00,en,@BabzOnTheMic Off the weed bro. That’s 4 straight losses against Miami. Pats no longer a threat in AFC East., weed bro thats straight losses miami pats longer threat afc east 
5,2022-09-11 22:04:29+00:00,en,"@IEngageApp My dog + Pain meds, prilocaine (numbing) cream, cool strips of fabric strategically placed, marijuana topical, oral &amp; inhaled, pastries &amp; comedy shows like @FamilyGuyonFOX &amp; @americandad", dog pain meds prilocaine numbing cream cool strips fabric strategically placed marijuana topical oral amp inhaled pastries amp comedy shows like amp 
6,2022-09-11 22:04:21+00:00,en,I need weed but I can’t get uppppp,need weed cant get uppppp
7,2022-09-11 22:03:43+00:00,en,this weed hit different 💚,weed hit different 
8,2022-09-11 22:03:39+00:00,en,"RT @snoopdoggslungz: 📸 Chem D
🌱(ig) https://t.co/08Krz2QMVZ 
#weed https://t.co/ZK4181FY1f",rt chem d ig 
9,2022-09-11 21:58:32+00:00,en,I’m not used to a nigga not having hella weed on him 😭 like as a man why are u not stocked up on gas ????,im used nigga hella weed like man u stocked gas 
10,2022-09-11 21:56:31+00:00,en,"RT @CAL_FIRE: #MillFire off Woodridge Court and Woodridge Way, near the City of Weed in Siskiyou County is at 3,935 acres and is 90% contai…",rt woodridge court woodridge way near city weed siskiyou county acres contai
11,2022-09-11 21:55:46+00:00,en,"@Ac7ionMann Depends....is that weed behind you?

If not, my bad. 
It looks like the good good 
😂🙌🏼", depends is weed behind you if not bad it looks like good good 
12,2022-09-11 21:54:35+00:00,en,"@amberdawn4444 @SpaceXplorer11 Interesting that you're all in for PP then. He voted against legalizing weed so who's to say if he is PM you won't be back to hiding your toking. Good luck!
https://t.co/ZjDWGK0k8z", interesting pp then voted legalizing weed who say pm back hiding toking good luck 
13,2022-09-11 21:54:33+00:00,en,"#MSOGang 0Cannabis retail: Shrinkage ahead » strategy."" https://t.co/NmemgszLfF", retail shrinkage ahead strategy 
14,2022-09-11 21:52:44+00:00,en,@kathbarbadoro I just finished lunch and smoked some weed so it’s looking like I can go in for a rescue mission here in a bit, finished lunch smoked weed its looking like go rescue mission bit
15,2022-09-11 21:51:57+00:00,en,@Tumble____weed @Emrys_Angel i cant lol but i live in castro too, cant lol live castro
16,2022-09-11 21:44:50+00:00,en,that first hit of weed after the gym sends me to the shadow realm,first hit weed gym sends shadow realm
17,2022-09-11 21:41:47+00:00,en,Yes no criminalization for using weed https://t.co/fegxh11uMK,yes criminalization using weed 
18,2022-09-11 21:35:14+00:00,en,I would be getting sober at the exact time someone is trying to gift me multiple ounces of weed lol,would getting sober exact time someone trying gift multiple ounces weed lol
19,2022-09-11 21:30:49+00:00,en,"Celebrated Athletes, Musicians and Cannabis All-Stars Join the #Benzinga #Cannabis Capital Conference in #Chicago September 13-14 https://t.co/E8W1a42RGy via @@mgretailer",celebrated athletes musicians cannabis all stars join capital conference september via 
20,2022-09-11 21:27:48+00:00,en,One of the few good things about Washington state is legal medical and recreational cannabis. Prohibition didn't work with alcohol and it doesn't work with marijuana. And the sky hasn't fallen in Washington state due to legal cannabis.,one good things washington state legal medical recreational cannabis prohibition work alcohol work marijuana sky fallen washington state due legal cannabis 
